chrom	start	end	GC
chr1	0	100000	0.44985
chr1	100000	200000	0.47911
chr1	200000	300000	0.44077
chr1	300000	400000	0.41121
chr1	400000	500000	0.38189
chr1	500000	600000	0.38254
chr1	600000	700000	0.40871
chr1	700000	800000	0.37622
chr1	800000	900000	0.36591
chr1	900000	1000000	0.36642
chr1	1000000	1100000	0.37405
chr1	1100000	1200000	0.40251
chr1	1200000	1300000	0.39753
chr1	1300000	1400000	0.37274
chr1	1400000	1500000	0.3825
chr1	1500000	1600000	0.41372
chr1	1600000	1700000	0.45971
chr1	1700000	1800000	0.46767
chr1	1800000	1900000	0.41532
chr1	1900000	2000000	0.46414
chr1	2000000	2100000	0.43803
chr1	2100000	2200000	0.40185
chr1	2200000	2300000	0.46794
chr1	2300000	2400000	0.45117
chr1	2400000	2500000	0.42609
chr1	2500000	2600000	0.46305
chr1	2600000	2700000	0.40983
chr1	2700000	2800000	0.40387
chr1	2800000	2900000	0.39659
chr1	2900000	3000000	0.41783
chr1	3000000	3100000	0.416
chr1	3100000	3200000	0.4176
chr1	3200000	3300000	0.44532
chr1	3300000	3400000	0.4265
chr1	3400000	3500000	0.45309
chr1	3500000	3600000	0.45701
chr1	3600000	3700000	0.44937
chr1	3700000	3800000	0.45536
chr1	3800000	3900000	0.45168
chr1	3900000	4000000	0.45802
chr1	4000000	4100000	0.42065
chr1	4100000	4200000	0.43512
chr1	4200000	4300000	0.4351
chr1	4300000	4400000	0.46913
chr1	4400000	4500000	0.42745
chr1	4500000	4600000	0.40466
chr1	4600000	4700000	0.38905
chr1	4700000	4800000	0.42954
chr1	4800000	4900000	0.44172
chr1	4900000	5000000	0.4454
chr1	5000000	5100000	0.42698
chr1	5100000	5200000	0.43156
chr1	5200000	5300000	0.40707
chr1	5300000	5400000	0.3718
chr1	5400000	5500000	0.36472
chr1	5500000	5600000	0.36493
chr1	5600000	5700000	0.43055
chr1	5700000	5800000	0.38112
chr1	5800000	5900000	0.38942
chr1	5900000	6000000	0.36834
chr1	6000000	6100000	0.4065
chr1	6100000	6200000	0.43574
chr1	6200000	6300000	0.40961
chr1	6300000	6400000	0.39298
chr1	6400000	6500000	0.40067
chr1	6500000	6600000	0.40657
chr1	6600000	6700000	0.40992
chr1	6700000	6800000	0.39595
chr1	6800000	6900000	0.40779
chr1	6900000	7000000	0.41205
chr1	7000000	7100000	0.44243
chr1	7100000	7200000	0.45446
chr1	7200000	7300000	0.39355
chr1	7300000	7400000	0.39286
chr1	7400000	7500000	0.39561
chr1	7500000	7600000	0.37925
chr1	7600000	7700000	0.40076
chr1	7700000	7800000	0.39542
chr1	7800000	7900000	0.40189
chr1	7900000	8000000	0.39407
chr1	8000000	8100000	0.40233
chr1	8100000	8200000	0.38165
chr1	8200000	8300000	0.38877
chr1	8300000	8400000	0.41029
chr1	8400000	8500000	0.42505
chr1	8500000	8600000	0.4038
chr1	8600000	8700000	0.39505
chr1	8700000	8800000	0.37883
chr1	8800000	8900000	0.38708
chr1	8900000	9000000	0.40925
chr1	9000000	9100000	0.41359
chr1	9100000	9200000	0.4079
chr1	9200000	9300000	0.40878
chr1	9300000	9400000	0.38541
chr1	9400000	9500000	0.38343
chr1	9500000	9600000	0.37747
chr1	9600000	9700000	0.38758
chr1	9700000	9800000	0.38347
chr1	9800000	9900000	0.37525
chr1	9900000	10000000	0.3654
chr1	10000000	10100000	0.35739
chr1	10100000	10200000	0.35847
chr1	10200000	10300000	0.36011
chr1	10300000	10400000	0.35482
chr1	10400000	10500000	0.35806
chr1	10500000	10600000	0.36696
chr1	10600000	10700000	0.37084
chr1	10700000	10800000	0.38274
chr1	10800000	10900000	0.38534
chr1	10900000	11000000	0.38581
chr1	11000000	11100000	0.38247
chr1	11100000	11200000	0.39691
chr1	11200000	11300000	0.41083
chr1	11300000	11400000	0.36879
chr1	11400000	11500000	0.3722
chr1	11500000	11600000	0.38744
chr1	11600000	11700000	0.36731
chr1	11700000	11800000	0.36624
chr1	11800000	11900000	0.39698
chr1	11900000	12000000	0.41505
chr1	12000000	12100000	0.4262
chr1	12100000	12200000	0.43838
chr1	12200000	12300000	0.40418
chr1	12300000	12400000	0.42882
chr1	12400000	12500000	0.4072
chr1	12500000	12600000	0.42794
chr1	12600000	12700000	0.44454
chr1	12700000	12800000	0.42081
chr1	12800000	12900000	0.40171
chr1	12900000	13000000	0.47798
chr1	13000000	13100000	0.4528
chr1	13100000	13200000	0.43907
chr1	13200000	13300000	0.37503
chr1	13300000	13400000	0.3714
chr1	13400000	13500000	0.47577
chr1	13500000	13600000	0.42951
chr1	13600000	13700000	0.44081
chr1	13700000	13800000	0.42574
chr1	13800000	13900000	0.38179
chr1	13900000	14000000	0.45728
chr1	14000000	14100000	0.47079
chr1	14100000	14200000	0.468
chr1	14200000	14300000	0.4573
chr1	14300000	14400000	0.45606
chr1	14400000	14500000	0.44326
chr1	14500000	14600000	0.45327
chr1	14600000	14700000	0.4072
chr1	14700000	14800000	0.42666
chr1	14800000	14900000	0.43894
chr1	14900000	15000000	0.42221
chr1	15000000	15100000	0.4042
chr1	15100000	15200000	0.40465
chr1	15200000	15300000	0.38129
chr1	15300000	15400000	0.4022
chr1	15400000	15500000	0.40641
chr1	15500000	15600000	0.40727
chr1	15600000	15700000	0.40737
chr1	15700000	15800000	0.40364
chr1	15800000	15900000	0.39643
chr1	15900000	16000000	0.40048
chr1	16000000	16100000	0.44331
chr1	16100000	16200000	0.43005
chr1	16200000	16300000	0.4028
chr1	16300000	16400000	0.41848
chr1	16400000	16500000	0.41906
chr1	16500000	16600000	0.40638
chr1	16600000	16700000	0.43897
chr1	16700000	16800000	0.42746
chr1	16800000	16900000	0.42425
chr1	16900000	17000000	0.40145
chr1	17000000	17100000	0.41871
chr1	17100000	17200000	0.43082
chr1	17200000	17300000	0.41991
chr1	17300000	17400000	0.41873
chr1	17400000	17500000	0.40236
chr1	17500000	17600000	0.39284
chr1	17600000	17700000	0.40619
chr1	17700000	17800000	0.42987
chr1	17800000	17900000	0.47233
chr1	17900000	18000000	0.42918
chr1	18000000	18100000	0.41857
chr1	18100000	18200000	0.44446
chr1	18200000	18300000	0.46513
chr1	18300000	18400000	0.43368
chr1	18400000	18500000	0.43047
