chrom	start	end	weight	E1
chrX	0	100000		
chrX	100000	200000		
chrX	200000	300000		
chrX	300000	400000		
chrX	400000	500000		
chrX	500000	600000		
chrX	600000	700000		
chrX	700000	800000		
chrX	800000	900000		
chrX	900000	1000000		
chrX	1000000	1100000		
chrX	1100000	1200000		
chrX	1200000	1300000		
chrX	1300000	1400000		
chrX	1400000	1500000		
chrX	1500000	1600000		
chrX	1600000	1700000		
chrX	1700000	1800000		
chrX	1800000	1900000		
chrX	1900000	2000000		
chrX	2000000	2100000		
chrX	2100000	2200000		
chrX	2200000	2300000		
chrX	2300000	2400000		
chrX	2400000	2500000	0.010434753295518625	0.3416861395848642
chrX	2500000	2600000	0.009346385660277021	0.3356400313964035
chrX	2600000	2700000	0.009312540111231693	-0.4350060602759591
chrX	2700000	2800000	0.011380077408897108	-0.7305036048582186
chrX	2800000	2900000	0.011822293120941645	-0.9082594868265524
chrX	2900000	3000000	0.01283781468194409	-0.7222045406671423
chrX	3000000	3100000	0.01136683067168047	-0.8340109169999573
chrX	3100000	3200000	0.011528183401871894	-0.5653635008384569
chrX	3200000	3300000	0.011524758168763067	-0.10766646713406913
chrX	3300000	3400000	0.009408865045885772	0.17503949190687515
chrX	3400000	3500000	0.009872230728558178	0.19014877162907734
chrX	3500000	3600000	0.009609804149033983	-0.5176046828157155
chrX	3600000	3700000	0.010236592942926394	-0.7497973411320542
chrX	3700000	3800000	0.009657630580645954	-0.7910993701455011
chrX	3800000	3900000	0.010138490346338307	-0.7512773898224978
chrX	3900000	4000000	0.010450803665790343	-0.7456366713306486
chrX	4000000	4100000	0.008979931705828326	-0.5908683006195391
chrX	4100000	4200000	0.009984263259890038	-0.09684394428810536
chrX	4200000	4300000	0.009632508560634594	-0.039092926503789316
chrX	4300000	4400000	0.010338330771128095	0.17654826807478022
chrX	4400000	4500000	0.00950782154608008	0.06332083716710858
chrX	4500000	4600000	0.009780108698440544	-0.08177529694450543
chrX	4600000	4700000	0.009366351567804868	-0.042068647863411225
chrX	4700000	4800000	0.00978722749819906	-0.32384033658830197
chrX	4800000	4900000	0.010647188774954883	-0.5761666503238085
chrX	4900000	5000000	0.010351679858644504	-0.5129332930855576
chrX	5000000	5100000	0.009926943171221343	-0.5091257783739047
chrX	5100000	5200000	0.010038577068590421	-0.6145143355061383
chrX	5200000	5300000	0.009899739417753304	-0.5830516734431149
chrX	5300000	5400000	0.010814188267868159	-0.4918960726423556
chrX	5400000	5500000	0.010239988093106025	-0.3348558364755381
chrX	5500000	5600000	0.009418411891714747	-0.517644840600982
chrX	5600000	5700000	0.00917053593421588	-0.6080993859114694
chrX	5700000	5800000	0.009920024037776067	-0.6048322832040606
chrX	5800000	5900000	0.0102702005663084	-0.6286560633109414
chrX	5900000	6000000	0.009104066587787493	-0.6729450340015242
chrX	6000000	6100000	0.010317280592087202	-0.6524030838987918
chrX	6100000	6200000	0.009717414648208451	-0.6827022256486668
chrX	6200000	6300000	0.009481208264016149	-0.5838020645575325
chrX	6300000	6400000	0.009341346888519226	-0.41132078558562135
chrX	6400000	6500000	0.009169120163118983	-0.3759769066689128
chrX	6500000	6600000	0.00967762571828865	-0.2724908935184609
chrX	6600000	6700000	0.009378049781847735	0.05346765032492999
chrX	6700000	6800000	0.009356008694529266	0.35618170154996903
chrX	6800000	6900000	0.008838755784625795	0.14894196264247073
chrX	6900000	7000000	0.010190369051604134	-0.2589907803691357
chrX	7000000	7100000	0.010312393594564586	-0.42815698727060997
chrX	7100000	7200000	0.009496241852013346	-0.4618284384536926
chrX	7200000	7300000	0.009819547483291337	-0.5268274257083381
chrX	7300000	7400000	0.013028504567976567	-0.375162489218695
chrX	7400000	7500000	0.009274868836011158	-0.17596289188872669
chrX	7500000	7600000	0.010848247873582165	-0.4329301072253481
chrX	7600000	7700000	0.01165281182132881	-0.5881009898251239
chrX	7700000	7800000	0.011464383563728272	-0.6302324149179883
chrX	7800000	7900000	0.009778130166315086	-0.7881981404349337
chrX	7900000	8000000	0.011602925623349997	-0.805043789725473
chrX	8000000	8100000	0.010782514615825993	-0.8145123091816189
chrX	8100000	8200000	0.009957524307180247	-0.6926113847811469
chrX	8200000	8300000	0.010672391841609142	-0.43173844283160334
chrX	8300000	8400000	0.009871909884183468	0.18376745970681302
chrX	8400000	8500000	0.009432846881548317	0.19169402474783445
chrX	8500000	8600000	0.010277991619279362	0.17344007127631375
chrX	8600000	8700000	0.009666171340901083	0.21046254631428535
chrX	8700000	8800000	0.009583893500754512	0.39018210969000966
chrX	8800000	8900000	0.008479589857469123	0.6373359042049579
chrX	8900000	9000000	0.010067650339961797	0.6318674004952812
chrX	9000000	9100000	0.00954939393748532	0.7164840396312256
chrX	9100000	9200000	0.010267909409264721	0.6795441919719216
chrX	9200000	9300000	0.008797294435143859	0.6197181791767176
chrX	9300000	9400000	0.00908599184867487	0.434556101095661
chrX	9400000	9500000	0.009442398222647056	0.3910062983657548
chrX	9500000	9600000	0.008909481104940215	0.7529280982287668
chrX	9600000	9700000	0.0094786415151837	0.9888201906462958
chrX	9700000	9800000	0.009135656351056148	0.2893345240225711
chrX	9800000	9900000	0.009324270409488342	-0.11096527423716976
chrX	9900000	10000000	0.010889370945855788	-0.2473629976983511
chrX	10000000	10100000	0.010183551329089218	0.11422451412794307
chrX	10100000	10200000	0.009535626483582244	0.26029532647291836
chrX	10200000	10300000	0.010281013004692143	0.13191801085558796
chrX	10300000	10400000	0.009599152815499638	-0.3051025053787589
chrX	10400000	10500000	0.011334701565430353	-0.5831781645350628
chrX	10500000	10600000	0.010401478470497199	-0.7152574303209951
chrX	10600000	10700000	0.011123512885461236	-0.5362122427395671
chrX	10700000	10800000	0.009596308175475302	-0.22989221132423793
chrX	10800000	10900000	0.011544237384564142	-0.10921000248424505
chrX	10900000	11000000	0.009779495372299432	0.011002619962681745
chrX	11000000	11100000	0.01263580818766557	-0.32206588283532755
chrX	11100000	11200000	0.009739699081397058	-0.24073528568333968
chrX	11200000	11300000	0.010246875478825334	-0.5582236347527704
chrX	11300000	11400000	0.010108889494755323	-0.2711173349759637
chrX	11400000	11500000	0.010295373990472922	-0.7542174158007585
chrX	11500000	11600000	0.010834245549135466	-0.8357049223948495
chrX	11600000	11700000	0.011001872980862892	-0.6724374494247332
chrX	11700000	11800000	0.010288647100992416	-0.594615418862715
chrX	11800000	11900000	0.01074017041178881	-0.5316868599936564
chrX	11900000	12000000	0.010696589737795461	-0.3208403106879109
chrX	12000000	12100000	0.010629164252313085	-0.4833008932453983
chrX	12100000	12200000	0.010630933731030584	-0.5413559154608248
chrX	12200000	12300000	0.009281728478092846	-0.5984831429407296
chrX	12300000	12400000	0.009455469119244697	-0.16690094512518486
chrX	12400000	12500000	0.008566822813160822	0.06135801674175653
chrX	12500000	12600000	0.008365449140716692	0.1698002904193431
chrX	12600000	12700000	0.009285220858723138	0.19538683440055635
chrX	12700000	12800000	0.008823006075601618	0.19919101441854487
chrX	12800000	12900000	0.009036416882878035	0.1235546866956885
chrX	12900000	13000000	0.011008514506269836	0.06640188138269112
chrX	13000000	13100000	0.01011319757021247	0.32339227374924956
chrX	13100000	13200000	0.008410626565468851	0.15764307300741365
