chrom	start	end	weight	E1	E2	E3
chrX	0	50000				
chrX	50000	100000				
chrX	100000	150000				
chrX	150000	200000				
chrX	200000	250000				
chrX	250000	300000				
chrX	300000	350000				
chrX	350000	400000				
chrX	400000	450000				
chrX	450000	500000				
chrX	500000	550000				
chrX	550000	600000				
chrX	600000	650000				
chrX	650000	700000				
chrX	700000	750000				
chrX	750000	800000				
chrX	800000	850000				
chrX	850000	900000				
chrX	900000	950000				
chrX	950000	1000000				
chrX	1000000	1050000				
chrX	1050000	1100000				
chrX	1100000	1150000				
chrX	1150000	1200000				
chrX	1200000	1250000				
chrX	1250000	1300000				
chrX	1300000	1350000				
chrX	1350000	1400000				
chrX	1400000	1450000				
chrX	1450000	1500000				
chrX	1500000	1550000				
chrX	1550000	1600000				
chrX	1600000	1650000				
chrX	1650000	1700000				
chrX	1700000	1750000				
chrX	1750000	1800000				
chrX	1800000	1850000				
chrX	1850000	1900000				
chrX	1900000	1950000				
chrX	1950000	2000000				
chrX	2000000	2050000				
chrX	2050000	2100000				
chrX	2100000	2150000				
chrX	2150000	2200000				
chrX	2200000	2250000				
chrX	2250000	2300000				
chrX	2300000	2350000				
chrX	2350000	2400000				
chrX	2400000	2450000	0.010239859533521566	-0.10865773006099921	0.9047421402484972	-1.036277259849299
chrX	2450000	2500000	0.009984859206015105	0.11805891735277665	1.0270101555062714	-1.0718309648942994
chrX	2500000	2550000	0.009794204154521582	0.39667583750154034	0.7542907270624529	-1.0786368846844343
chrX	2550000	2600000	0.00937535004387087	-0.18144090420193218	0.8283402720839815	-0.9041812328699259
chrX	2600000	2650000	0.00909478937935462	-0.1797413547414239	0.8413308018781258	-0.6573570702569635
chrX	2650000	2700000	0.008968704783564086	-0.24639062895213415	0.5671459760758351	-0.6959909703433674
chrX	2700000	2750000	0.01057075999086125	-0.2380252396911555	0.5017775574381246	-0.7418920788568655
chrX	2750000	2800000	0.010918121815108308	-0.06027314054887765	0.42206151131397157	-0.6905101255289421
chrX	2800000	2850000	0.010070917574509874	-0.377780084386698	0.6213687150623383	-0.7366720095831205
chrX	2850000	2900000	0.011100440397067552	-0.07587306122015965	0.6910980392534832	-0.4562658676848632
chrX	2900000	2950000	0.012507983847464802	-0.2436032798053574	0.6791191661394056	-0.8623599638336834
chrX	2950000	3000000	0.010543773159138514	-0.38999301954886556	0.3766159382865523	-0.3945783753643811
chrX	3000000	3050000	0.00901602453631823	-0.304383123850924	0.5401447755074027	-0.44766202662932514
chrX	3050000	3100000	0.01175964630826525	-0.15573162457826928	0.6080183060265224	-0.6390431372888635
chrX	3100000	3150000	0.011004202570010745	-0.424633625860557	0.45862418289745527	-0.672708443522399
chrX	3150000	3200000	0.010033913269259587	-0.09443307078675675	0.5899821168230891	-0.480579164157813
chrX	3200000	3250000	0.01159385067534004	0.005823988222751318	0.5264170875619906	-0.6817364510271103
chrX	3250000	3300000	0.011488892882421551	0.12052854823281059	0.6889528136959869	-0.5347095690124302
chrX	3300000	3350000	0.009161292719321	0.28343698841280207	0.575653564011552	-0.4836155811108652
chrX	3350000	3400000	0.009702097665021538	0.0940327332362474	0.8452308155632431	-0.3650219333461052
chrX	3400000	3450000	0.009839070853218019	0.23766718005881107	0.3520809819793461	-0.49275769416339255
chrX	3450000	3500000	0.011428828586619857	-0.06408924211833593	0.46706012939718133	-0.4870562350617921
chrX	3500000	3550000	0.009028000630447994	-0.32696408430165397	0.31097783507682986	-0.5160079462697055
chrX	3550000	3600000	0.009287455687380953	-0.3211592073098655	0.24705216425505236	-0.4708806427502858
chrX	3600000	3650000	0.009519386906592497	-0.5576822024521635	0.3988008770277387	-0.34645816159491544
chrX	3650000	3700000	0.008719074874007735	-0.381862349795031	0.44538072575105614	-0.3498304625213088
chrX	3700000	3750000	0.008508552369648464	-0.5428851488852066	0.5734711182926958	-0.48916122001817663
chrX	3750000	3800000	0.00886638342883041	-0.5124483168001489	0.5964308452054846	-0.3143107914144877
chrX	3800000	3850000	0.008834853294568894	-0.5392247805163491	0.6036446752093858	-0.4126948216863361
chrX	3850000	3900000	0.008977948966893997	-0.5096544679646893	0.6314671069397356	-0.2878331787079456
chrX	3900000	3950000	0.009226804951748255	-0.6502393211739126	0.48719146246866357	-0.2799859130657312
chrX	3950000	4000000	0.009175488317513098	-0.624995113698375	0.5074485903977655	-0.20004768075662718
chrX	4000000	4050000	0.008003856221933123	-0.6081783212113233	0.6896085334321247	-0.4548815771327258
chrX	4050000	4100000	0.008198676062188838	-0.5619593023725369	0.4751781835462437	-0.3090155641380834
chrX	4100000	4150000	0.009352272468861998	-0.5867320581806125	0.41373999263136957	-0.20308462214860645
chrX	4150000	4200000	0.009347509676134288	-0.6450342504199168	0.6531370219632696	-0.04999025676361628
chrX	4200000	4250000	0.00817322922351427	-0.8816937289592272	0.5638556481196224	-0.19485311472794425
chrX	4250000	4300000	0.009292267321396793	-0.6455443011605345	0.5968799342434187	-0.2768257307351015
chrX	4300000	4350000	0.010013582094764686	-0.433505812165699	0.5651674758190462	-0.32980297330657227
chrX	4350000	4400000	0.009507295421673403	-0.5907547370231707	0.4431934608256788	-0.4235395179788223
chrX	4400000	4450000	0.009005279432226313	-0.40496937538103356	0.46466149377140364	-0.5737126102136711
chrX	4450000	4500000	0.008458994657013151	-0.5432374357318015	0.44541838428588204	-0.15377274808803992
